id,industry,sw_industry
0,能源金属,有色金属
1,船舶制造,国防军工
2,互联网服务,计算机
3,煤炭行业,煤炭
4,软件开发,计算机
5,航天航空,国防军工
6,电池,电力设备
7,房地产开发,房地产
8,石油行业,石油石化
9,文化传媒,传媒
10,教育,社会服务
11,通信服务,通信
12,计算机设备,计算机
13,房地产服务,房地产
14,电子化学品,基础化工
15,通信设备,通信
16,橡胶制品,轻工制造
17,光学光电子,电子
18,化肥行业,基础化工
19,商业百货,商贸零售
20,化纤行业,基础化工
21,农牧饲渔,农林牧渔
22,综合行业,综合
23,贸易行业,商贸零售
24,装修建材,建筑装饰
25,化学制品,基础化工
26,化学原料,基础化工
27,旅游酒店,休闲服务
28,消费电子,电子
29,环保行业,环保
30,电子元件,电子
31,游戏,传媒
32,钢铁行业,钢铁
33,专用设备,机械设备
34,纺织服装,纺织服装
35,半导体,电子
36,水泥建材,建材
37,电机,机械设备
38,通用设备,机械设备
39,包装材料,轻工制造
40,电网设备,电力设备
41,小金属,有色金属
42,多元金融,非银金融
43,造纸印刷,轻工制造
44,塑料制品,轻工制造
45,装修装饰,建筑装饰
46,汽车整车,汽车
47,工程机械,机械设备
48,珠宝首饰,商贸零售
49,采掘行业,采掘（煤矿/矿业，可归类为采掘/煤炭）
50,航运港口,交通运输
51,酿酒行业,食品饮料
52,汽车零部件,汽车
53,仪器仪表,机械设备
54,专业服务,社会服务
55,物流行业,交通运输
56,食品饮料,食品饮料
57,汽车服务,汽车
58,交运设备,交通运输
59,家用轻工,轻工制造
60,工程建设,建筑装饰
61,工程咨询服务,社会服务
62,家电行业,家电
63,电源设备,电力设备
64,铁路公路,交通运输
65,电力行业,电力及公用事业
66,公用事业,电力及公用事业
67,农药兽药,基础化工
68,非金属材料,建材
69,美容护理,社会服务
70,证券,非银金融
71,航空机场,交通运输
72,有色金属,有色金属
73,医疗服务,医药生物
74,燃气,电力及公用事业
75,风电设备,电力设备
76,玻璃玻纤,建材
77,银行,银行
78,中药,医药生物
79,光伏设备,电力设备
80,医疗器械,医药生物
81,化学制药,医药生物
82,保险,非银金融
83,生物制品,医药生物
84,贵金属,有色金属
85,医药商业,医药生物
